comparison_id,suburb,property_type,bedrooms,bathrooms,parking,sale_date,human_estimate_aud
C01,Parramatta,Apartment,0,1,,2026-08-17,345000
C02,Parramatta,Townhouse,2,1,1.0,2026-08-14,785000
C03,Blacktown,Apartment,2,1,1.0,2026-08-03,495000
C04,Blacktown,House,3,2,3.0,2026-07-31,1180000
C05,Blacktown,House,7,4,2.0,2026-07-29,1425000
C06,Blacktown,Apartment,2,2,1.0,2026-07-28,580000
C07,Mosman,House,4,3,2.0,2026-06-02,4650000
C08,Mosman,House,4,3,1.0,2026-04-11,5250000
C09,Mosman,House,5,2,1.0,2026-04-11,4880000
C10,Mosman,House,4,3,2.0,2026-03-31,5350000
