property_id,comparison_id,split
P001,,development
P002,,development
P003,,development
P004,,development
P005,,development
P006,,development
P007,,development
P008,,development
P009,,development
P010,,test
P011,,development
P012,,development
P013,,development
P014,,test
P015,,development
P016,,development
P017,,development
P018,,development
P019,,development
P020,,development
P021,,development
P022,,development
P023,,development
P024,,development
P025,,development
P026,,development
P027,,development
P028,,development
P029,,development
P030,,development
P031,,test
P032,,development
P033,,development
P034,,test
P035,,development
P036,C01,test
P037,C02,test
B001,,development
B002,,development
B003,,development
B004,,development
B005,,development
B006,,development
B007,,development
B008,,test
B009,,development
B010,,development
B011,,development
B012,,development
B013,,development
B014,,development
B015,,test
B016,,development
B017,,development
B018,,development
B019,,test
B020,,development
B021,,test
B022,,development
B023,,development
B024,,development
B025,,development
B026,,development
B027,,development
B028,,development
B029,,test
B030,,development
B031,,development
B032,,development
B033,,development
B034,,development
B035,,development
B036,,development
B037,,development
B038,,development
B039,,development
B040,C03,test
B041,C04,test
B042,C05,test
B043,C06,test
M001,,development
M002,,development
M003,,development
M004,,test
M005,,development
M006,,development
M007,,development
M008,,development
M009,,test
M010,,development
M011,,development
M012,,development
M013,,development
M014,,development
M015,,development
M016,,development
M017,,development
M018,,test
M019,,development
M020,,development
M021,,development
M022,,development
M023,,development
M024,C07,test
M025,C08,test
M026,C09,test
M027,C10,test
M028,,development
M029,,test
M030,,development
M031,,development
M032,,test
M033,,development
M034,,development
M035,,development
M036,,development
M037,,development
M038,,development
M039,,development
