test_property,neighbour_id,suburb,price,distance
M027,M031,Mosman,3900000,0.953012460034641
M027,M033,Mosman,5075000,1.0450292612289773
M027,M030,Mosman,7198000,1.0450292612289773
M029,M031,Mosman,3900000,0.953012460034641
M029,M033,Mosman,5075000,1.0450292612289773
M029,M030,Mosman,7198000,1.0450292612289773
B042,B018,Blacktown,1500000,2.1216893255576403
B042,M028,Mosman,9000000,2.7472182470324893
B042,M031,Mosman,3900000,3.1012098638205683
M024,M011,Mosman,8700000,0.4557731179196328
M024,M022,Mosman,3550000,1.0450292612289775
M024,M031,Mosman,3900000,1.6666718225688373
B021,B005,Blacktown,1260000,2.1216893255576403
B021,B003,Blacktown,1340000,3.4349217676617765
B021,B024,Blacktown,1235000,3.6179621818044962
