property_id,address,suburb,sale_price_aud,property_type,bedrooms,bathrooms,parking,advertised_area_m2,sale_date,comparison_id,source_url,accessed_date,predicted_price_aud,signed_error_aud,absolute_error_aud,absolute_percentage_error,llm_estimate_aud,reason,human_estimate_aud,illustrative_estimate_aud
P036,721/1-3 Valentine Avenue,Parramatta,250000,Apartment,0,1,,,2026-08-17,C01,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,2026-09-16,443000.0,193000.0,193000.0,77.2,310000,Studio with limited accommodation and unknown parking,345000,300000
P037,138 Railway St,Parramatta,685000,Townhouse,2,1,1.0,,2026-08-14,C02,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,2026-09-16,572333.3333333334,-112666.66666666663,112666.66666666663,16.44768856447688,810000,Two-bedroom townhouse with one bathroom and parking,785000,750000
B040,12/15 DEVITT STREET,Blacktown,465000,Apartment,2,1,1.0,,2026-08-03,C03,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,2026-09-16,438000.0,-27000.0,27000.0,5.806451612903226,450000,Typical two-bedroom Blacktown apartment,495000,450000
B041,59 Lancaster Street,Blacktown,900000,House,3,2,3.0,600.0,2026-07-31,C04,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,2026-09-16,1131000.0,231000.0,231000.0,25.666666666666668,1150000,Three-bedroom house with two bathrooms and three parking spaces,1180000,1100000
B042,53 - 53A Pelleas Street,Blacktown,1700000,House,7,4,2.0,584.0,2026-07-29,C05,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,2026-09-16,4800000.0,3100000.0,3100000.0,182.35294117647058,1750000,Seven bedrooms and four bathrooms suggest a much larger dwelling,1425000,1500000
B043,301/10 Carinya Street,Blacktown,590000,Apartment,2,2,1.0,103.0,2026-07-28,C06,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,2026-09-16,499666.6666666667,-90333.33333333331,90333.33333333331,15.310734463276834,520000,Two-bedroom apartment with a second bathroom,580000,550000
M024,96 Glover Street,Mosman,3390000,House,4,3,2.0,379.0,2026-06-02,C07,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,2026-09-16,5383333.333333333,1993333.333333333,1993333.333333333,58.80039331366764,4800000,Four-bedroom three-bathroom Mosman house,4650000,5000000
M025,14 Erith Street,Mosman,5300000,House,4,3,1.0,613.0,2026-04-11,C08,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,2026-09-16,5383333.333333333,83333.33333333302,83333.33333333302,1.5723270440251513,4700000,Similar Mosman house with one parking space,5250000,5000000
M026,130 Cowles Road,Mosman,4200000,House,5,2,1.0,,2026-04-11,C09,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,2026-09-16,4070000.0,-130000.0,130000.0,3.0952380952380953,5100000,Five-bedroom Mosman house with only two bathrooms,4880000,5000000
M027,17 Morella Road,Mosman,23000000,House,4,3,2.0,961.1,2026-03-31,C10,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,2026-09-16,5391000.0,-17609000.0,17609000.0,76.56086956521739,4800000,Same main accommodation as C07 and a nearby sale period,5350000,5000000
